Date,Open,High,Low,Close,Adj Close,Volume
9/13/2018,223.520004,228.350006,222.570007,226.410004,225.622772,41706400
9/14/2018,225.75,226.839996,222.520004,223.839996,223.061691,31999300
9/17/2018,222.149994,222.949997,217.270004,217.880005,217.122421,37195100
9/18/2018,217.789993,221.850006,217.119995,218.240005,217.481171,31571700
9/19/2018,218.5,219.619995,215.300003,218.369995,217.610718,27123800
9/20/2018,220.240005,222.279999,219.149994,220.029999,219.264954,26608800
9/21/2018,220.779999,221.360001,217.289993,217.660004,216.903198,96246700
9/24/2018,216.820007,221.259995,216.630005,220.789993,220.022293,27693400
9/25/2018,219.75,222.820007,219.699997,222.190002,221.417435,24554400
9/26/2018,221,223.75,219.759995,220.419998,219.653595,23984700
9/27/2018,223.820007,226.440002,223.539993,224.949997,224.167831,30181200
9/28/2018,224.789993,225.839996,224.020004,225.740005,224.955093,22929400
10/1/2018,227.949997,229.419998,226.350006,227.259995,226.469803,23600800
10/2/2018,227.25,230,226.630005,229.279999,228.482788,24788200
10/3/2018,230.050003,233.470001,229.779999,232.070007,231.263092,28654800
10/4/2018,230.779999,232.350006,226.729996,227.990005,227.197281,32042000
10/5/2018,227.960007,228.410004,220.580002,224.289993,223.510132,33580500
10/8/2018,222.210007,224.800003,220.199997,223.770004,222.991943,29663900
10/9/2018,223.639999,227.270004,222.25,226.869995,226.081161,26891000
10/10/2018,225.460007,226.350006,216.050003,216.360001,215.607712,41990600
10/11/2018,214.520004,219.5,212.320007,214.449997,213.704346,53124400
10/12/2018,220.419998,222.880005,216.839996,222.110001,221.337723,40337900
10/15/2018,221.160004,221.830002,217.270004,217.360001,216.604233,30791000
10/16/2018,218.929993,222.990005,216.759995,222.149994,221.377563,29184000
10/17/2018,222.300003,222.639999,219.339996,221.190002,220.420914,22885400
10/18/2018,217.860001,219.740005,213,216.020004,215.26889,32581300
10/19/2018,218.059998,221.259995,217.429993,219.309998,218.547455,33078700
10/22/2018,219.789993,223.360001,218.940002,220.649994,219.882782,28792100
10/23/2018,215.830002,223.25,214.699997,222.729996,221.955551,38767800
10/24/2018,222.600006,224.229996,214.539993,215.089996,214.342117,40925500
10/25/2018,217.710007,221.380005,216.75,219.800003,219.035751,29855800
10/26/2018,215.899994,220.190002,212.669998,216.300003,215.547913,47258400
10/29/2018,219.190002,219.690002,206.089996,212.240005,211.502045,45935500
10/30/2018,211.149994,215.179993,209.270004,213.300003,212.55835,36660000
10/31/2018,216.880005,220.449997,216.619995,218.860001,218.099014,38358900
11/1/2018,219.050003,222.360001,216.809998,222.220001,221.447327,58323200
11/2/2018,209.550003,213.649994,205.429993,207.479996,206.758575,91328700
11/5/2018,204.300003,204.389999,198.169998,201.589996,200.889053,66163700
11/6/2018,201.919998,204.720001,201.690002,203.770004,203.061493,31882900
11/7/2018,205.970001,210.059998,204.130005,209.949997,209.219986,33424400
11/8/2018,209.979996,210.119995,206.75,208.490005,208.490005,25362600
11/9/2018,205.550003,206.009995,202.25,204.470001,204.470001,34365800
11/12/2018,199,199.850006,193.789993,194.169998,194.169998,51135500
11/13/2018,191.630005,197.179993,191.449997,192.229996,192.229996,46882900
11/14/2018,193.899994,194.479996,185.929993,186.800003,186.800003,60801000
11/15/2018,188.389999,191.970001,186.899994,191.410004,191.410004,46478800
11/16/2018,190.5,194.970001,189.460007,193.529999,193.529999,36928300
11/19/2018,190,190.699997,184.990005,185.860001,185.860001,41925300
11/20/2018,178.369995,181.470001,175.509995,176.979996,176.979996,67825200
11/21/2018,179.729996,180.270004,176.550003,176.779999,176.779999,31124200
11/23/2018,174.940002,176.600006,172.100006,172.289993,172.289993,23624000
11/26/2018,174.240005,174.949997,170.259995,174.619995,174.619995,44998500
11/27/2018,171.509995,174.770004,170.880005,174.240005,174.240005,41387400
11/28/2018,176.729996,181.289993,174.929993,180.940002,180.940002,46062500
11/29/2018,182.660004,182.800003,177.699997,179.550003,179.550003,41770000
11/30/2018,180.289993,180.330002,177.029999,178.580002,178.580002,39531500
12/3/2018,184.460007,184.940002,181.210007,184.820007,184.820007,40802500
12/4/2018,180.949997,182.389999,176.270004,176.690002,176.690002,41344300
12/6/2018,171.759995,174.779999,170.419998,174.720001,174.720001,43098400
12/7/2018,173.490005,174.490005,168.300003,168.490005,168.490005,42281600
12/10/2018,165,170.089996,163.330002,169.600006,169.600006,62026000
12/11/2018,171.660004,171.789993,167,168.630005,168.630005,47281700
12/12/2018,170.399994,171.919998,169.020004,169.100006,169.100006,35627700
12/13/2018,170.490005,172.570007,169.550003,170.949997,170.949997,31898600
12/14/2018,169,169.080002,165.279999,165.479996,165.479996,40703700
12/17/2018,165.449997,168.350006,162.729996,163.940002,163.940002,44287900
12/18/2018,165.380005,167.529999,164.389999,166.070007,166.070007,33841500
12/19/2018,166,167.449997,159.089996,160.889999,160.889999,49047300
12/20/2018,160.399994,162.110001,155.300003,156.830002,156.830002,64773000
12/21/2018,156.860001,158.160004,149.630005,150.729996,150.729996,95744600
12/24/2018,148.149994,151.550003,146.589996,146.830002,146.830002,37169200
12/26/2018,148.300003,157.229996,146.720001,157.169998,157.169998,58582500
12/27/2018,155.839996,156.770004,150.070007,156.149994,156.149994,53117100
12/28/2018,157.5,158.520004,154.550003,156.229996,156.229996,42291400
12/31/2018,158.529999,159.360001,156.479996,157.740005,157.740005,35003500
1/2/2019,154.889999,158.850006,154.229996,157.919998,157.919998,37039700
1/3/2019,143.979996,145.720001,142,142.190002,142.190002,91312200
1/4/2019,144.529999,148.550003,143.800003,148.259995,148.259995,58607100
1/7/2019,148.699997,148.830002,145.899994,147.929993,147.929993,54777800
1/8/2019,149.559998,151.820007,148.520004,150.75,150.75,41025300
1/9/2019,151.289993,154.529999,149.630005,153.309998,153.309998,45099100
1/10/2019,152.5,153.970001,150.860001,153.800003,153.800003,35780700
1/11/2019,152.880005,153.699997,151.509995,152.289993,152.289993,27023200
1/14/2019,150.850006,151.270004,149.220001,150,150,32439200
1/15/2019,150.270004,153.389999,150.050003,153.070007,153.070007,28710900
1/16/2019,153.080002,155.880005,153,154.940002,154.940002,30569700
1/17/2019,154.199997,157.660004,153.259995,155.860001,155.860001,29821200
1/18/2019,157.5,157.880005,155.979996,156.820007,156.820007,33751000
